tile_index,image_name,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
0,image0.tif,LE07_133040_20051011,2005-10-11,5,133,40,LANDSAT_7,ETM,1129002453830,153.2870328936448
0,image0.tif,LE07_133040_20050909,2005-09-09,23,133,40,LANDSAT_7,ETM,1126237657127,301.284306256664
0,image0.tif,LE07_133040_20041024,2004-10-24,13,133,40,LANDSAT_7,ETM,1098589635895,380.9407667770987
0,image0.tif,LE07_133040_20061030,2006-10-30,7,133,40,LANDSAT_7,ETM,1162180093579,557.3206705912642
0,image0.tif,LE07_133040_20070627,2007-06-27,20,133,40,LANDSAT_7,ETM,1182916125457,927.3417755814755
0,image0.tif,LE07_133040_20031022,2003-10-22,38,133,40,LANDSAT_7,ETM,1066794409039,998.9092823835759
0,image0.tif,LE07_133040_20020901,2002-09-01,27,133,40,LANDSAT_7,ETM,1030851989843,1304.8735621403061
0,image0.tif,LE07_133040_20081019,2008-10-19,33,133,40,LANDSAT_7,ETM,1224388034939,1537.3821998289204
