model,run,predict_iou,predict_precision,predict_recall,callback_iou,callback_precision,callback_recall,delta_iou,n_tiles
baseline_landsat_dem_seed3407,reproducibility_dci_followup_baseline_landsat_dem_seed3407_desktop_20260608_233957,0.3941355596486519,0.5696695652173912,0.5612319404063062,0.3768743871245814,0.5685712176367362,0.5278132899630702,0.0172611725240705,151
full_threshold_10p0_seed42,reproducibility_dci_followup_full_threshold_10p0_seed42_desktop_20260609_021038,0.3911806913697555,0.6884884422417544,0.4753063639886231,0.3891680364512999,0.6889565466585373,0.4721181751803652,0.002012654918455592,151
full_threshold_5p0_seed42,reproducibility_dci_followup_full_threshold_5p0_seed42_desktop_20260609_143647,0.3766016667408585,0.7720774183632052,0.4237075248636551,0.370320440794144,0.7738285576750683,0.4152671936821405,0.006281225946714486,151
full_threshold_2p0_seed2026,reproducibility_dci_followup_full_threshold_2p0_seed2026_desktop_20260609_072342,0.3752934355136776,0.6805437419273539,0.4555459196718761,0.368783668437544,0.6834999716417788,0.4447292741367902,0.006509767076133599,151
full_threshold_2p0_seed42,reproducibility_dci_followup_full_threshold_2p0_seed42_desktop_20260609_082513,0.372400156564225,0.7175134141795895,0.4363798834380246,0.3701771493946382,0.7176701224929976,0.4332734092664397,0.002223007169586788,151
