model,predict_iou,predict_precision,predict_recall,callback_iou,callback_precision,callback_recall,delta_iou,n_tiles
ci_02_landsat_dem_seed42,0.694473226405559,0.8102246281329262,0.8293836062381462,0.6949257252145462,0.8241615061093469,0.8158947425140237,-0.00045249880898723394,151
dci_15_full_threshold_2p0_seed42,0.4082568122433743,0.6251905394858787,0.5405620912620693,0.4050441153151499,0.624721973549417,0.5352875432626282,0.003212696928224401,151
dci_09_dissertation_full_no_loss_seed2026,0.3661022801801154,0.751877033204747,0.4164111985955626,0.3607029891654207,0.7504536810911511,0.4098634838376356,0.005399291014694718,151
dci_02_landsat_dem_seed42,0.2537330047007757,0.320285416149984,0.5497721216019231,0.3461808096970401,0.526773610951817,0.502432987408038,-0.09244780499626443,151
