task,variant,seed,run,iou,precision,recall,bg_iou,val_iou,val_loss,best_val_loss,status,start_time,duration_min
dci,06_velocity_channels,2026,reproducibility_dci_06_velocity_channels_seed2026_desktop_20260608_040759,0.1595950360727036,0.18994668384754046,0.4996942291014816,0.9284577703355829,0.113127700984478,0.9344814419746399,0.49909108877182007,FINISHED,1780913280674,11.834383333333333
dci,07_velocity_loss,42,reproducibility_dci_07_velocity_loss_seed42_desktop_20260608_052423,0.14725983203004323,0.9306149347172445,0.148894611842296,0.9767791706723449,0.1441584825515747,-0.36151397228240967,-1.0315243005752563,FINISHED,1780917864436,22.4563
dci,07_velocity_loss,1337,reproducibility_dci_07_velocity_loss_seed1337_desktop_20260608_043743,0.16528614311621637,0.9024978089395261,0.16829129422804706,0.977098913760671,0.12431194633245468,-0.3373568654060364,-1.0899369716644287,FINISHED,1780915064231,23.333583333333333
dci,07_velocity_loss,2026,reproducibility_dci_07_velocity_loss_seed2026_desktop_20260608_050139,0.27925615833552114,0.7640677876741891,0.30560878722299395,0.9786672321555274,0.18996140360832214,-0.4172510802745819,-1.1176445484161377,FINISHED,1780916500181,22.139083333333332
dci,08_physics_velocity_no_spectral,42,reproducibility_dci_08_physics_velocity_no_spectral_seed42_desktop_20260608_064315,0.3878739190872492,0.7293759202916076,0.4530786648355558,0.980583866872581,0.30720141530036926,-0.8410466313362122,-1.351204514503479,FINISHED,1780922596621,25.0489
dci,08_physics_velocity_no_spectral,1337,reproducibility_dci_08_physics_velocity_no_spectral_seed1337_desktop_20260608_054726,0.2703191685657663,0.748346479676792,0.2973490190289665,0.9782965494850832,0.15497545897960663,-0.3321568965911865,-1.2177857160568237,FINISHED,1780919247688,24.960366666666665
dci,08_physics_velocity_no_spectral,2026,reproducibility_dci_08_physics_velocity_no_spectral_seed2026_desktop_20260608_061300,0.34478506977526197,0.5758247027391838,0.46216744119841097,0.976144929682014,0.28361961245536804,-0.8582671284675598,-1.3704012632369995,FINISHED,1780920781626,29.649433333333334
dci,09_dissertation_full_no_loss,42,reproducibility_dci_09_dissertation_full_no_loss_seed42_desktop_20260608_075708,0.30221981932434805,0.7227725807215685,0.3418465926314485,0.9786323880575926,0.11584726721048355,0.9792633056640625,0.08484805375337601,FINISHED,1780927029406,25.016416666666668
dci,09_dissertation_full_no_loss,1337,reproducibility_dci_09_dissertation_full_no_loss_seed1337_desktop_20260608_070855,0.26629521110524035,0.7055953064613758,0.29958167377935463,0.9776794115198365,0.13145717978477478,0.9109614491462708,0.16069400310516357,FINISHED,1780924135974,18.13233333333333
dci,09_dissertation_full_no_loss,2026,reproducibility_dci_09_dissertation_full_no_loss_seed2026_desktop_20260608_072739,0.3607029891654207,0.7504536810911511,0.4098634838376356,0.9802974859140472,0.2086867094039917,0.7312341332435608,-0.046595461666584015,FINISHED,1780925260089,28.88865
dci,10_dissertation_full,42,reproducibility_dci_10_dissertation_full_seed42_desktop_20260608_092148,0.2865790759541777,0.7327997537324916,0.32001955879368105,0.9784448834025036,0.14276981353759766,-0.33654335141181946,-1.1963123083114624,FINISHED,1780932109355,34.07991666666667
dci,10_dissertation_full,1337,reproducibility_dci_10_dissertation_full_seed1337_desktop_20260608_082245,0.14166533557829022,0.9554260485651206,0.1426078567305183,0.9767335936423668,0.0,0.07625295221805573,-0.9442867040634155,FINISHED,1780928566353,29.135583333333333
dci,10_dissertation_full,2026,reproducibility_dci_10_dissertation_full_seed2026_desktop_20260608_085229,0.32525550533660935,0.7181790255877774,0.37284279949073323,0.979042759973274,0.24735312163829803,-0.7627440690994263,-1.327256202697754,FINISHED,1780930350372,28.717433333333332
dci,11_flow_accumulation_only,42,reproducibility_dci_11_flow_accumulation_only_seed42_desktop_20260608_095629,0.09599082600082573,0.13028965538515325,0.26720422596469395,0.9320109838277189,0.003852891270071268,0.9562182426452637,0.8489335179328918,FINISHED,1780934190105,6.25115
dci,12_tpi_only,42,reproducibility_dci_12_tpi_only_seed42_desktop_20260608_100320,0.08148480283740824,0.6474650227177191,0.08526790539026645,0.9741584783753704,0.06412102282047272,0.9602981805801392,0.7888199090957642,FINISHED,1780934601130,14.188666666666666
dci,13_roughness_only,42,reproducibility_dci_13_roughness_only_seed42_desktop_20260608_101807,0.07967662655355688,0.09666349347535509,0.3119574873012818,0.9025273678511434,0.0,0.9779218435287476,0.8815674185752869,FINISHED,1780935488321,7.1265
dci,14_curvature_only,42,reproducibility_dci_14_curvature_only_seed42_desktop_20260608_102551,0.04561279164659757,0.46145883303456403,0.0481773682087888,0.9729248467711658,0.0049651688896119595,0.9489645957946777,0.8785027265548706,FINISHED,1780935951795,7.497333333333334
dci,15_full_threshold_2p0,42,reproducibility_dci_15_full_threshold_2p0_seed42_desktop_20260608_103356,0.40504411531514994,0.624721973549417,0.5352875432626282,0.9786017149546993,0.18305499851703644,-0.4454580247402191,-1.1681177616119385,FINISHED,1780936437630,31.345066666666668
dci,16_full_threshold_5p0,42,reproducibility_dci_16_full_threshold_5p0_seed42_desktop_20260608_110553,0.378704712763828,0.7079006227706224,0.4488426835086683,0.9800068892649778,0.17570562660694122,-0.6592999696731567,-1.5139448642730713,FINISHED,1780938354377,28.586233333333332
dci,17_full_threshold_10p0,42,reproducibility_dci_17_full_threshold_10p0_seed42_desktop_20260608_113504,0.39097122174352056,0.7499115157084347,0.4495912950188338,0.9809844620513378,0.22254790365695953,-1.3135218620300293,-2.1485822200775146,FINISHED,1780940105801,28.902916666666666
dci,18_static_physics_robust,42,reproducibility_dci_18_static_physics_robust_seed42_desktop_20260608_120435,0.16524815665521803,0.2366951459426952,0.35377429362968504,0.9516032340012288,0.0,1.1852638721466064,0.485828697681427,FINISHED,1780941876015,15.339483333333334
dci,19_dissertation_full_robust,42,reproducibility_dci_19_dissertation_full_robust_seed42_desktop_20260608_122031,0.19805775603910486,0.27190345932873267,0.4217173780672643,0.9536721790883319,0.0034346021711826324,-0.008958752267062664,-1.1327229738235474,FINISHED,1780942832394,30.364983333333335
