run,group,threshold,seed,test_iou,test_precision,test_recall,test_bg_iou,val_iou,val_loss,best_val_loss,duration_min,status
reproducibility_dci_followup_baseline_landsat_dem_seed3407_desktop_20260608_233957,baseline_landsat_dem,,3407,0.37687438712458143,0.5685712176367362,0.5278132899630702,0.9762545522669386,0.1017925888299942,0.9321509599685669,0.2719537615776062,14.27965,FINISHED
reproducibility_dci_followup_full_no_velocity_loss_seed3407_desktop_20260608_235451,full_no_velocity_loss,,3407,0.2972524590746856,0.6545298396627361,0.3525683437497528,0.9774278817386254,0.023242564871907234,1.2521575689315796,0.0998881459236145,35.58071666666667,FINISHED
reproducibility_dci_followup_full_threshold_1p0_seed42_desktop_20260609_041737,full_threshold,1.0,42,0.3515341772605553,0.7005771909149344,0.4136882560251364,0.9793001465522225,0.14005723595619202,-0.23312807083129883,-1.1187363862991333,31.590883333333334,FINISHED
reproducibility_dci_followup_full_threshold_1p0_seed1337_desktop_20260609_024307,full_threshold,1.0,1337,0.1775872603134115,0.9388490199589521,0.17966544446172458,0.9775731148789835,0.01940547488629818,0.11366600543260574,-0.916481077671051,30.686166666666665,FINISHED
reproducibility_dci_followup_full_threshold_1p0_seed2026_desktop_20260609_031424,full_threshold,1.0,2026,0.3012117728622134,0.7492357714949398,0.33498256315091635,0.978964919092632,0.0761306956410408,-0.05276894196867943,-1.1900577545166016,33.884116666666664,FINISHED
reproducibility_dci_followup_full_threshold_1p0_seed3407_desktop_20260609_034854,full_threshold,1.0,3407,0.2516260616696275,0.7394998623279979,0.27609925955995346,0.9778085854345383,0.0,0.18681620061397552,-0.6381515860557556,28.115383333333334,FINISHED
reproducibility_dci_followup_full_threshold_1p5_seed42_desktop_20260609_062246,full_threshold,1.5,42,0.35947892361660777,0.7349788679209879,0.4130147692615896,0.9800385455369652,0.061350706964731216,-0.05843944847583771,-1.1226071119308472,30.716183333333333,FINISHED
reproducibility_dci_followup_full_threshold_1p5_seed1337_desktop_20260609_044949,full_threshold,1.5,1337,0.08017752912873742,0.9265262265807063,0.0806905677585675,0.9751146682089806,0.02453899383544922,0.08018558472394943,-0.7987285852432251,34.49373333333333,FINISHED
reproducibility_dci_followup_full_threshold_1p5_seed2026_desktop_20260609_052454,full_threshold,1.5,2026,0.34752362622626715,0.6119741387265873,0.4457427992271376,0.9772795404260837,0.14593574404716492,-0.29749932885169983,-1.1717395782470703,26.475066666666667,FINISHED
reproducibility_dci_followup_full_threshold_1p5_seed3407_desktop_20260609_055159,full_threshold,1.5,3407,0.1367018154483014,0.8540433607822947,0.13997190070880855,0.9761993192302514,0.0,0.16688135266304016,-0.9803848266601562,30.1766,FINISHED
