tile_index,image_name,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
68,image68.tif,LE07_153035_20050905,2005-09-05,0,153,35,LANDSAT_7,ETM,1125899356633,67.36845297931818
68,image68.tif,LE07_152035_20050930,2005-09-30,0,152,35,LANDSAT_7,ETM,1128058980724,92.36626180479809
68,image68.tif,LE07_152036_20050930,2005-09-30,0,152,36,LANDSAT_7,ETM,1128059004614,92.3665383333177
68,image68.tif,LE07_152035_20050914,2005-09-14,3,152,35,LANDSAT_7,ETM,1126676579942,106.36487035309015
68,image68.tif,LE07_153035_20051007,2005-10-07,2,153,35,LANDSAT_7,ETM,1128664146792,119.37110386901422
68,image68.tif,LE07_153035_20051023,2005-10-23,1,153,35,LANDSAT_7,ETM,1130046561474,125.37265621425178
68,image68.tif,LE07_153035_20050921,2005-09-21,10,153,35,LANDSAT_7,ETM,1127281751563,183.36977669369261
68,image68.tif,LE07_152035_20051016,2005-10-16,10,152,35,LANDSAT_7,ETM,1129441384671,208.36768989161544
68,image68.tif,LE07_152036_20050914,2005-09-14,16,152,36,LANDSAT_7,ETM,1126676603833,236.36514689318486
68,image68.tif,LE07_152035_20041029,2004-10-29,1,152,35,LANDSAT_7,ETM,1099028566185,255.8609940175739
68,image68.tif,LE07_152036_20041029,2004-10-29,2,152,36,LANDSAT_7,ETM,1099028590073,265.86071755998034
68,image68.tif,LE07_153035_20041004,2004-10-04,0,153,35,LANDSAT_7,ETM,1096868920809,270.85472992775345
68,image68.tif,LE07_153035_20040918,2004-09-18,1,153,35,LANDSAT_7,ETM,1095486524752,296.8533018951224
68,image68.tif,LE07_152036_20040927,2004-09-27,2,152,36,LANDSAT_7,ETM,1096263776059,297.8581149450405
68,image68.tif,LE07_153035_20040902,2004-09-02,0,153,35,LANDSAT_7,ETM,1094104131133,302.8518456473367
68,image68.tif,LE07_152035_20040927,2004-09-27,6,152,35,LANDSAT_7,ETM,1096263752168,337.8583914373532
68,image68.tif,LE07_152036_20051016,2005-10-16,30,152,36,LANDSAT_7,ETM,1129441408562,408.36796643171016
68,image68.tif,LE07_153035_20060908,2006-09-08,0,153,35,LANDSAT_7,ETM,1157694582100,435.4005429617296
68,image68.tif,LE07_152035_20060917,2006-09-17,0,152,35,LANDSAT_7,ETM,1158471807991,444.3969902223429
68,image68.tif,LE07_152036_20060917,2006-09-17,0,152,36,LANDSAT_7,ETM,1158471831882,444.3972667624376
68,image68.tif,LE07_153035_20060924,2006-09-24,0,153,35,LANDSAT_7,ETM,1159076975801,451.401852450338
68,image68.tif,LE07_152035_20061003,2006-10-03,0,152,35,LANDSAT_7,ETM,1159854200525,460.3982862028398
68,image68.tif,LE07_152036_20061003,2006-10-03,0,152,36,LANDSAT_7,ETM,1159854224414,460.39856271978437
68,image68.tif,LE07_153035_20061010,2006-10-10,9,153,35,LANDSAT_7,ETM,1160459370562,557.4031742085249
