tile_index,image_name,scene_pool,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
67,image67.tif,dynamic,LE07_152036_20050626,2005-06-26,1,152,36,LANDSAT_7,ETM,1119764624710,15.881052703413703
67,image67.tif,dynamic,LE07_152035_20050626,2005-06-26,1,152,35,LANDSAT_7,ETM,1119764600823,15.881329149434112
67,image67.tif,dynamic,LE07_153035_20050719,2005-07-19,0,153,35,LANDSAT_7,ETM,1121752172712,19.364491894934222
67,image67.tif,dynamic,LE07_153035_20050804,2005-08-04,0,153,35,LANDSAT_7,ETM,1123134570446,35.365848065816365
67,image67.tif,dynamic,LE07_153035_20050820,2005-08-20,0,153,35,LANDSAT_7,ETM,1124516965108,51.36716867807096
67,image67.tif,dynamic,LE07_152036_20050813,2005-08-13,1,152,36,LANDSAT_7,ETM,1123911820792,54.36257839486608
67,image67.tif,dynamic,LE07_153035_20050905,2005-09-05,0,153,35,LANDSAT_7,ETM,1125899356633,67.36845297931818
67,image67.tif,dynamic,LE07_152035_20050728,2005-07-28,4,152,35,LANDSAT_7,ETM,1122529400970,68.36096655374777
67,image67.tif,dynamic,LE07_152035_20050930,2005-09-30,0,152,35,LANDSAT_7,ETM,1128058980724,92.36626180479809
67,image67.tif,dynamic,LE07_152036_20050930,2005-09-30,0,152,36,LANDSAT_7,ETM,1128059004614,92.3665383333177
67,image67.tif,dynamic,LE07_153035_20050430,2005-04-30,3,153,35,LANDSAT_7,ETM,1114840182215,92.87199047156685
67,image67.tif,dynamic,LE07_152035_20050423,2005-04-23,3,152,35,LANDSAT_7,ETM,1114235009053,99.87570430303448
67,image67.tif,dynamic,LE07_152035_20050914,2005-09-14,3,152,35,LANDSAT_7,ETM,1126676579942,106.36487035309015
67,image67.tif,dynamic,LE07_152036_20050423,2005-04-23,4,152,36,LANDSAT_7,ETM,1114235032944,109.87542781072177
67,image67.tif,dynamic,LE07_152036_20050728,2005-07-28,9,152,36,LANDSAT_7,ETM,1122529424859,118.36124307069232
67,image67.tif,dynamic,LE07_153035_20051007,2005-10-07,2,153,35,LANDSAT_7,ETM,1128664146792,119.37110386901422
67,image67.tif,dynamic,LE07_152035_20050813,2005-08-13,8,152,35,LANDSAT_7,ETM,1123911796902,124.36230186634646
67,image67.tif,dynamic,LE07_153035_20051023,2005-10-23,1,153,35,LANDSAT_7,ETM,1130046561474,125.37265621425178
67,image67.tif,dynamic,LE07_153035_20050329,2005-03-29,4,153,35,LANDSAT_7,ETM,1112075387545,134.86916398708203
67,image67.tif,dynamic,LE07_152036_20051101,2005-11-01,3,152,36,LANDSAT_7,ETM,1130823821372,154.36949710840904
67,image67.tif,dynamic,LE07_152035_20051117,2005-11-17,2,152,35,LANDSAT_7,ETM,1132206206758,160.37071035027654
67,image67.tif,dynamic,LE07_152035_20051101,2005-11-01,4,152,35,LANDSAT_7,ETM,1130823797483,164.36922059146448
67,image67.tif,dynamic,LE07_152035_20050117,2005-01-17,0,152,35,LANDSAT_7,ETM,1105940600731,165.86750621415692
67,image67.tif,dynamic,LE07_152036_20051117,2005-11-17,3,152,36,LANDSAT_7,ETM,1132206230646,170.370986855646
96,image96.tif,dynamic,LE07_140041_20051012,2005-10-12,10,140,41,LANDSAT_7,ETM,1129091474415,204.3174527591372
96,image96.tif,dynamic,LE07_140041_20051231,2005-12-31,4,140,41,LANDSAT_7,ETM,1136003515201,224.3248368601084
96,image96.tif,dynamic,LE07_140041_20041228,2004-12-28,4,140,41,LANDSAT_7,ETM,1104208289407,225.91567348616627
96,image96.tif,dynamic,LE07_140041_20060116,2006-01-16,11,140,41,LANDSAT_7,ETM,1137385923375,310.3263138747639
96,image96.tif,dynamic,LE07_140041_20050113,2005-01-13,15,140,41,LANDSAT_7,ETM,1105590693955,319.91700325182535
96,image96.tif,dynamic,LE07_140041_20050521,2005-05-21,28,140,41,LANDSAT_7,ETM,1116649906221,321.9279204964988
96,image96.tif,dynamic,LE07_140041_20050910,2005-09-10,25,140,41,LANDSAT_7,ETM,1126326676007,322.3147063866552
96,image96.tif,dynamic,LE07_140041_20051113,2005-11-13,19,140,41,LANDSAT_7,ETM,1131856298269,326.3204936709542
96,image96.tif,dynamic,LE07_140041_20041110,2004-11-10,10,140,41,LANDSAT_7,ETM,1100061066023,333.9117969109304
96,image96.tif,dynamic,LE07_140041_20050403,2005-04-03,25,140,41,LANDSAT_7,ETM,1112502708832,339.9237430792023
96,image96.tif,dynamic,LE07_140041_20051028,2005-10-28,22,140,41,LANDSAT_7,ETM,1130473888032,340.3189927769209
96,image96.tif,dynamic,LE07_140041_20060217,2006-02-17,13,140,41,LANDSAT_7,ETM,1140150734133,362.32920319941076
96,image96.tif,dynamic,LE07_140041_20050214,2005-02-14,23,140,41,LANDSAT_7,ETM,1108355505869,367.91963017022084
96,image96.tif,dynamic,LE07_140041_20041212,2004-12-12,18,140,41,LANDSAT_7,ETM,1102825880850,381.9143901169611
96,image96.tif,dynamic,LE07_140041_20060305,2006-03-05,17,140,41,LANDSAT_7,ETM,1141533135990,418.33060709432334
96,image96.tif,dynamic,LE07_140041_20050302,2005-03-02,30,140,41,LANDSAT_7,ETM,1109737910920,421.92095411462367
96,image96.tif,dynamic,LE07_140041_20050926,2005-09-26,34,140,41,LANDSAT_7,ETM,1127709074372,428.316069861409
96,image96.tif,dynamic,LE07_140041_20050318,2005-03-18,34,140,41,LANDSAT_7,ETM,1111120312155,445.9223222218772
96,image96.tif,dynamic,LE07_140041_20041009,2004-10-09,23,140,41,LANDSAT_7,ETM,1097296239290,495.90934149391967
96,image96.tif,dynamic,LE07_140041_20041025,2004-10-25,26,140,41,LANDSAT_7,ETM,1098678656415,509.9105257050261
96,image96.tif,dynamic,LE07_140041_20040416,2004-04-16,13,140,41,LANDSAT_7,ETM,1082089879401,571.8936708863454
96,image96.tif,dynamic,LE07_140041_20040228,2004-02-28,9,140,41,LANDSAT_7,ETM,1077942677508,579.8895455941747
96,image96.tif,dynamic,LE07_140041_20040502,2004-05-02,17,140,41,LANDSAT_7,ETM,1083472280186,595.8950442014823
96,image96.tif,dynamic,LE07_140041_20040822,2004-08-22,29,140,41,LANDSAT_7,ETM,1093149057157,603.9049875178052
131,image131.tif,dynamic,LE07_139040_20051122,2005-11-22,0,139,40,LANDSAT_7,ETM,1132633507650,145.31674982709447
131,image131.tif,dynamic,LE07_139041_20050412,2005-04-12,7,139,41,LANDSAT_7,ETM,1113279934490,150.92885296689744
131,image131.tif,dynamic,LE07_139040_20050412,2005-04-12,8,139,40,LANDSAT_7,ETM,1113279910596,160.9291294939293
131,image131.tif,dynamic,LE07_139040_20051208,2005-12-08,0,139,40,LANDSAT_7,ETM,1134015911876,161.31818114335746
131,image131.tif,dynamic,LE07_139040_20050327,2005-03-27,7,139,40,LANDSAT_7,ETM,1111897516043,166.92768405539485
131,image131.tif,dynamic,LE07_139040_20050207,2005-02-07,3,139,40,LANDSAT_7,ETM,1107750307318,174.92363783046616
131,image131.tif,dynamic,LE07_139040_20050106,2005-01-06,0,139,40,LANDSAT_7,ETM,1104985497876,176.92098230343154
131,image131.tif,dynamic,LE07_139040_20051224,2005-12-24,0,139,40,LANDSAT_7,ETM,1135398315324,177.3196034542129
131,image131.tif,dynamic,LE07_139040_20060109,2006-01-09,0,139,40,LANDSAT_7,ETM,1136780724949,193.32109726430085
131,image131.tif,dynamic,LE07_139041_20051208,2005-12-08,4,139,41,LANDSAT_7,ETM,1134015935770,201.31845771817743
131,image131.tif,dynamic,LE07_139040_20060125,2006-01-25,0,139,40,LANDSAT_7,ETM,1138163132699,209.32256937112493
131,image131.tif,dynamic,LE07_139041_20060109,2006-01-09,2,139,41,LANDSAT_7,ETM,1136780748845,213.32137386227095
131,image131.tif,dynamic,LE07_139041_20050106,2005-01-06,4,139,41,LANDSAT_7,ETM,1104985521772,216.9207057532535
131,image131.tif,dynamic,LE07_139040_20050615,2005-06-15,20,139,40,LANDSAT_7,ETM,1118809501935,216.9347593283239
131,image131.tif,dynamic,LE07_139040_20041103,2004-11-03,0,139,40,LANDSAT_7,ETM,1099455868224,240.915795868224
131,image131.tif,dynamic,LE07_139040_20060226,2006-02-26,0,139,40,LANDSAT_7,ETM,1140927940762,241.32542750094717
131,image131.tif,dynamic,LE07_139041_20051224,2005-12-24,7,139,41,LANDSAT_7,ETM,1135398339220,247.31988005218295
131,image131.tif,dynamic,LE07_139041_20060125,2006-01-25,4,139,41,LANDSAT_7,ETM,1138163156595,249.322845969095
131,image131.tif,dynamic,LE07_139040_20041018,2004-10-18,2,139,40,LANDSAT_7,ETM,1098073454841,276.91456835067436
131,image131.tif,dynamic,LE07_139041_20050207,2005-02-07,17,139,41,LANDSAT_7,ETM,1107750331212,314.9233613034342
131,image131.tif,dynamic,LE07_139041_20060210,2006-02-10,9,139,41,LANDSAT_7,ETM,1139545561759,315.32428814277756
131,image131.tif,dynamic,LE07_139040_20050428,2005-04-28,26,139,40,LANDSAT_7,ETM,1114662309583,324.9305236174534
