tile_index,image_name,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
70,image70.tif,LE07_152035_20050930,2005-09-30,0,152,35,LANDSAT_7,ETM,1128058980724,92.36626180479809
70,image70.tif,LE07_152035_20050914,2005-09-14,3,152,35,LANDSAT_7,ETM,1126676579942,106.36487035309015
70,image70.tif,LE07_151036_20051009,2005-10-09,2,151,36,LANDSAT_7,ETM,1128836231102,121.36299250425014
70,image70.tif,LE07_151036_20050923,2005-09-23,11,151,36,LANDSAT_7,ETM,1127453833907,195.36164257233293
70,image70.tif,LE07_152035_20051016,2005-10-16,10,152,35,LANDSAT_7,ETM,1129441384671,208.36768989161544
70,image70.tif,LE07_152035_20041029,2004-10-29,1,152,35,LANDSAT_7,ETM,1099028566185,255.8609940175739
70,image70.tif,LE07_151036_20041022,2004-10-22,1,151,36,LANDSAT_7,ETM,1098423413218,262.8644741308106
70,image70.tif,LE07_151035_20041022,2004-10-22,1,151,35,LANDSAT_7,ETM,1098423389329,262.8647505999771
70,image70.tif,LE07_151036_20040904,2004-09-04,1,151,36,LANDSAT_7,ETM,1094276212590,310.8603341987011
70,image70.tif,LE07_151035_20050923,2005-09-23,23,151,35,LANDSAT_7,ETM,1127453810017,315.36136604381335
70,image70.tif,LE07_151035_20051009,2005-10-09,23,151,35,LANDSAT_7,ETM,1128836207211,331.3627159641555
70,image70.tif,LE07_152035_20040927,2004-09-27,6,152,35,LANDSAT_7,ETM,1096263752168,337.8583914373532
70,image70.tif,LE07_151035_20040904,2004-09-04,10,151,35,LANDSAT_7,ETM,1094276188700,400.86061067944075
70,image70.tif,LE07_152035_20060917,2006-09-17,0,152,35,LANDSAT_7,ETM,1158471807991,444.3969902223429
70,image70.tif,LE07_152035_20061003,2006-10-03,0,152,35,LANDSAT_7,ETM,1159854200525,460.3982862028398
70,image70.tif,LE07_151036_20040920,2004-09-20,18,151,36,LANDSAT_7,ETM,1095658606743,464.8617842664652
70,image70.tif,LE07_151036_20061012,2006-10-12,1,151,36,LANDSAT_7,ETM,1160631454980,479.3950640938689
70,image70.tif,LE07_151035_20040920,2004-09-20,27,151,35,LANDSAT_7,ETM,1095658582852,554.862060758778
70,image70.tif,LE07_151035_20060910,2006-09-10,13,151,35,LANDSAT_7,ETM,1157866639812,567.3921237231453
70,image70.tif,LE07_152035_20060901,2006-09-01,15,152,35,LANDSAT_7,ETM,1157089413336,578.3956696911139
70,image70.tif,LE07_151036_20060910,2006-09-10,15,151,36,LANDSAT_7,ETM,1157866663703,587.39240026324
70,image70.tif,LE07_152035_20061019,2006-10-19,12,152,35,LANDSAT_7,ETM,1161236609219,596.3997692365339
70,image70.tif,LE07_151036_20060926,2006-09-26,15,151,36,LANDSAT_7,ETM,1159249057142,603.393706719179
70,image70.tif,LE07_151036_20031020,2003-10-20,2,151,36,LANDSAT_7,ETM,1066628186006,640.8329938573023
